name,seed,trainable_params,steps,tokens_trained,train_loss,eval_loss,eval_perplexity,train_runtime_s,peak_vram_gb,use_rslora,learning_rate,embedding_learning_rate,n_target_modules,packing,timestamp
01_baseline,3407,515899392,10,2621440,1.2587,1.2241,3.4012,263.1,14.86,False,0.0005,,6,True,2026-06-11T21:16:45+00:00
01_baseline,0,515899392,50,13107200,1.1642,1.1049,3.0191,1263.5,14.923,False,0.0005,,6,True,2026-06-11T21:40:36+00:00
01_baseline,1,515899392,50,13107200,1.1649,1.1048,3.0186,1264.8,14.865,False,0.0005,,6,True,2026-06-11T22:04:31+00:00
01_baseline,2,515899392,50,13107200,1.1685,1.093,2.9833,1261.8,14.904,False,0.0005,,6,True,2026-06-11T22:28:18+00:00
02_gate_proj,0,639631360,50,13107200,1.1609,1.099,3.0013,1318.4,14.286,False,0.0005,,7,True,2026-06-11T22:53:07+00:00
02_gate_proj,1,639631360,50,13107200,1.1609,1.0988,3.0005,1313.9,14.204,False,0.0005,,7,True,2026-06-11T23:17:41+00:00
02_gate_proj,2,639631360,50,13107200,1.1634,1.0866,2.9643,1312.3,14.225,False,0.0005,,7,True,2026-06-11T23:42:14+00:00
03_embed_lmhead,0,779943936,50,13107200,1.1569,1.0981,2.9986,1316.9,15.376,False,0.0005,,9,True,2026-06-12T00:06:55+00:00
03_embed_lmhead,1,779943936,50,13107200,1.156,1.0966,2.994,1321.6,15.295,False,0.0005,,9,True,2026-06-12T00:31:39+00:00
03_embed_lmhead,2,779943936,50,13107200,1.1584,1.086,2.9623,1323.0,15.357,False,0.0005,,9,True,2026-06-12T00:56:25+00:00
04_rslora,0,779943936,50,13107200,1.5514,1.2668,3.5495,1322.9,15.313,True,0.0005,,9,True,2026-06-12T01:20:50+00:00
04_rslora,1,779943936,50,13107200,1.5001,1.0996,3.003,1328.2,15.295,True,0.0005,,9,True,2026-06-12T01:45:19+00:00
04_rslora,2,779943936,50,13107200,1.8503,1.0923,2.9813,1327.9,15.357,True,0.0005,,9,True,2026-06-12T02:09:49+00:00
05_decoupled_lr,0,779943936,50,13107200,1.1404,1.0953,2.9901,1886.4,11.398,False,0.0005,5e-05,9,True,2026-06-12T02:44:21+00:00
05_decoupled_lr,1,779943936,50,13107200,1.1409,1.0925,2.9818,1882.2,11.314,False,0.0005,5e-05,9,True,2026-06-12T03:18:48+00:00
05_decoupled_lr,2,779943936,50,13107200,1.1379,1.0889,2.9711,1906.2,11.419,False,0.0005,5e-05,9,True,2026-06-12T03:53:40+00:00
06b_rslora_at_05_lrs,0,779943936,50,13107200,1.7724,1.1216,3.0698,1886.5,11.398,True,0.0005,5e-05,9,True,2026-06-12T04:28:13+00:00
06b_rslora_at_05_lrs,1,779943936,50,13107200,2.1958,1.3927,4.0256,1880.6,11.335,True,0.0005,5e-05,9,True,2026-06-12T05:02:38+00:00
06b_rslora_at_05_lrs,2,779943936,50,13107200,1.6978,1.0877,2.9674,1902.8,11.419,True,0.0005,5e-05,9,True,2026-06-12T05:37:22+00:00
06_rslora_decoupled,0,779943936,50,13107200,1.1312,1.0882,2.9689,1893.2,11.377,True,0.0001,2.5e-05,9,True,2026-06-12T06:11:39+00:00
06_rslora_decoupled,1,779943936,50,13107200,1.132,1.0869,2.9651,1888.3,11.335,True,0.0001,2.5e-05,9,True,2026-06-12T06:45:50+00:00
06_rslora_decoupled,2,779943936,50,13107200,1.1281,1.0832,2.9541,1905.6,11.419,True,0.0001,2.5e-05,9,True,2026-06-12T07:20:43+00:00
